CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,2.6151139270212297e-05,-1.4144894628688605e-05,7.871724016534927e-06,-7.527372087212946e-07,-3.1155016634309565e-07,1.1841302282107807e-08,8.91782268423186e-08,2.9268922706742696e-08,1.444713539817222e-07,-6.801705302080747e-08,1.8385287896399296e-09,6.011690371597323e-08,-7.123170732155889e-09,-2.694655327188265e-17,-1.4658752185182922e-17,-1.4129674230504204e-17
CPT3,5.2144905555892724e-05,-1.1717163619440569e-05,2.534511240211016e-06,-2.695777652697025e-08,4.898279604387783e-07,-2.6415790595209397e-07,-2.6547550546238006e-07,-1.9461122346014224e-07,-1.7390563620618238e-07,2.5113550126940597e-08,-2.667637788850057e-09,-1.288967621499549e-07,9.898276247345687e-09,4.3174645750090977e-17,3.040840339709058e-17,2.87770973500176e-17
CPT4,0.00017372132513752451,1.3404788141703807e-05,1.796491112686143e-06,1.4041769372911597e-06,-2.4222247171436585e-07,3.848075564127784e-07,-4.1001745083784293e-07,-1.1943623502009026e-07,-4.1822897957555535e-07,1.0534835460138358e-07,5.142799155011597e-08,4.837920007746664e-08,1.6558919759624792e-08,6.956215727678579e-17,3.677393540504545e-18,-1.4823076576950256e-18
CPT5,-0.00019744410733784246,1.0211894512104807e-06,-3.011981301544184e-07,-7.120993563570238e-07,-7.103402303447897e-07,-4.1549398085626397e-07,9.070914870794173e-07,1.8718379249281325e-07,-3.7974613543509256e-07,5.8787440055502195e-08,5.667133501262811e-08,-4.589817199784514e-09,6.480689223941112e-09,3.844428437703093e-17,9.786936309931406e-18,2.8011379565699712e-18
CPT6,0.0001737500776199328,1.3320176213056006e-05,9.566252531234588e-07,1.0682558270121392e-06,2.2085230522343688e-07,-5.565080502195716e-07,9.155208975764964e-08,5.87363506988108e-07,1.572244147128119e-08,6.038608891089693e-08,-7.505715179448707e-08,-2.3559428504936745e-08,-2.4639151489533776e-08,-1.1569453619957037e-16,-2.1025740031015887e-17,-7.977356297241e-18
CPT7,-0.00024678962809507516,1.4803710488266646e-05,4.802007923587543e-07,-2.6041965089362526e-06,9.946716003632694e-07,-4.5929866413449254e-07,-5.650801003339149e-07,9.483817953637263e-08,1.3708781341216504e-07,1.3324414995170315e-08,1.9714912821806916e-08,1.199859988779445e-08,5.390105606253649e-09,2.8215514505988e-17,1.1570999455085777e-18,7.199780051661553e-20
CPT8,0.0001654103344704112,9.181107308071489e-06,-1.5798437040435634e-06,-8.078769906262829e-07,-9.710761023112647e-07,7.900127347890562e-08,3.6860973231060645e-08,-2.1525369786848018e-07,1.397473404984305e-07,-2.6121672791205135e-07,1.1564561346602035e-07,-2.9590843506597518e-08,-1.3302974126918499e-08,-3.7354152973914645e-18,5.387817758806994e-18,7.8837591565694e-18
CPT9,6.834497577717894e-05,-1.0557220197717837e-05,-3.281351135938578e-06,-2.7767510690828075e-07,1.138113440938307e-06,6.099905974548471e-08,-4.7052983018695244e-08,2.8176997458321164e-07,-2.8963441716692453e-07,-2.73092527019996e-07,-6.51461638060215e-08,3.6115292007520915e-08,1.0004131270336667e-08,2.7837949569749394e-17,7.021651669831934e-18,-6.2087515033740215e-18
CPT10,-0.00022724457966769878,8.141002603551603e-06,8.715157466844104e-07,6.664946775519881e-07,3.0433244132915175e-07,1.4002993170791662e-06,1.7741584101504369e-07,-1.9193605299043323e-07,-2.937387243496515e-08,-4.151242974288392e-08,-6.996890346097368e-08,-2.6148465223218165e-08,-1.267231388099658e-08,-6.808493181677429e-17,-6.501348447091179e-18,7.284483346386983e-20
CPT11,0.00015142173575501743,6.370847002906914e-06,-8.137428397005922e-07,-8.714352988050836e-07,-7.038558470029627e-07,2.116222979254067e-08,3.7707497052795204e-07,-1.8034535802987654e-07,3.8463550763553543e-07,4.5884210554127005e-08,-1.0431487873177715e-07,-7.565698469815526e-10,2.9384189315591576e-08,8.200845940374048e-17,2.1659161856884494e-17,5.03645790437407e-18
CPT12,-0.00017884499080429527,-1.5338367001794284e-06,-6.036199677794219e-07,3.772334011812933e-06,4.0427157029863236e-07,-6.527611659438927e-07,1.7990147212593856e-08,-1.7970165674112484e-07,2.9563848336547155e-07,-6.969687469359741e-08,3.4381744025976907e-08,1.5536743237868963e-08,6.9056934492036946e-09,3.67497949660487e-17,5.05440441494402e-18,2.761327408049019e-19
CPT13,-0.00012292018753470252,-1.0917765399681268e-05,-2.893426340320832e-06,5.597973858421096e-09,-2.2923980352833686e-06,-6.658070562245351e-08,-5.947844743411277e-07,9.103723725272195e-08,-4.915982312654031e-08,6.405653156841683e-08,-5.034970527818612e-08,8.300139878697225e-09,-8.071312717935266e-09,-4.8097707118651377e-17,-1.3494531868961488e-17,-5.318519875809752e-18
CPT15,9.579686181695423e-05,-6.145076496246484e-06,-2.697173431356909e-06,-7.824389621347677e-07,9.882421792239042e-07,-3.2793414845009627e-07,1.5708797228118205e-07,-6.76629359103675e-07,-7.350286889521011e-08,1.6448187628639495e-07,-1.3949595935302253e-08,3.720351780462904e-08,-2.164291833669959e-08,-1.0901822250931198e-16,-3.251420671330357e-17,-1.6352818079691522e-17
CPT16,6.650213803648949e-05,-1.1226864166812655e-05,-2.3407126123052227e-06,-8.144221851201375e-08,6.91131355186964e-07,7.846238823891131e-07,2.8158806045928527e-08,4.864519696528864e-07,2.9624879247601365e-07,1.7615314529125246e-07,1.0177391112977544e-07,-4.108510178266286e-09,2.829836412278696e-09,4.453085137776352e-17,4.148833550100567e-18,6.250044359552669e-18
