CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,0.0015416505079478774,-0.0008000226329520107,-0.0004217992272427599,6.75077509212132e-05,-1.7464328855061015e-05,2.6106717102023646e-05,6.28015372498874e-06,6.550949126148196e-06,1.4692786356205074e-05,1.7181102602457872e-05,9.309140632476356e-06,-1.52004402091966e-06,-1.1689759303069045e-06,4.30184316987936e-16,1.461097952695778e-16,-3.228483019118711e-16
CPT3,0.0032210452227775994,-0.0006189955737237898,-0.00022242021915199118,-2.5783708963751618e-05,-2.2273669021173064e-05,4.1648233230124915e-06,9.364973358466094e-06,-9.638248132625793e-06,-3.1903903213666466e-05,-1.7672898760445586e-05,-1.380000042859074e-05,4.094873546320191e-06,2.6457968479175106e-06,-9.979674421914386e-16,-1.5111067779016718e-16,8.249694330442203e-16
CPT4,0.010092130444196065,0.000684986284327252,-4.5513324467539055e-05,-7.124540992110222e-07,-5.640091015579248e-05,-3.477795538122633e-05,-7.409728160152363e-06,-2.5906191424059782e-06,-2.0693005011937493e-07,-2.5094420589159123e-05,1.453912510382963e-05,-3.3516948558402407e-06,4.025451274230633e-06,-9.966528470573e-17,-1.1384122811097797e-16,-4.318377253009764e-16
CPT5,-0.011769959122113984,8.581952028030958e-05,-1.1971669366365122e-05,5.919362879640148e-05,-2.6633893375895506e-05,-1.07810415520917e-05,-2.4612091740376513e-05,-5.066503718448084e-05,1.759587770144204e-05,-1.9690811689636995e-05,-4.091414895504033e-06,-1.0133490582199084e-06,-5.248263601478984e-06,1.3233229616271824e-15,4.0657581468206416e-19,-7.667477763817487e-16
CPT6,0.010048673893989264,0.0007044329779200503,-4.460115733933602e-05,-6.106911789988297e-05,-3.8339508995798824e-05,-4.664502242187935e-05,1.2997264159362229e-05,1.8031911758499162e-05,2.8373170257508986e-05,8.264207004013066e-06,-7.491473202808304e-06,8.453302117010129e-06,-1.6205735014364461e-06,-6.831557888831163e-16,1.77863366396247e-16,8.600975834327507e-16
CPT7,-0.014722740226943833,0.0007370303538507473,-0.00010172376019901373,4.336340574622431e-05,6.054763194020073e-05,-9.042787910153042e-05,-1.0563540210555786e-06,3.966747937494703e-07,-2.5340062558058558e-05,1.6574927890984962e-05,3.358555425277132e-06,1.3110001939963098e-06,4.4199737241545564e-07,-3.81530744497649e-16,7.995991022080595e-17,4.204536024898786e-16
CPT8,0.010302045841403871,0.0005973753369086136,9.537012587264044e-05,5.641835959727207e-05,1.7512913748509953e-05,8.492750627359992e-05,-1.0081041205400813e-05,-4.967832545849202e-05,-6.544597765512365e-06,2.195526035800278e-05,-1.298169249830622e-06,9.310907002021724e-07,2.267545641418682e-06,-4.657732532997727e-16,-3.003240017784847e-17,3.604972223514302e-16
CPT9,0.004021696395682786,-0.000582856329019889,9.161579095186826e-05,-8.793474704009676e-05,2.9381805645563624e-05,-1.9350785606450725e-05,-9.850518184542212e-05,1.561861821183948e-05,-2.673223422557276e-07,5.689478175672987e-06,-8.638576412487993e-08,-3.83889357913465e-07,1.5253469666389287e-07,-8.212831456577696e-17,-7.926873133584644e-17,-9.627715291671279e-17
CPT10,-0.013524894821111426,0.00046968504386413657,-4.4409058085795533e-05,-3.2053574095588654e-05,7.595849119381535e-05,9.815198053486976e-05,2.716582342625042e-07,3.278642475478574e-05,1.5119581752371606e-05,-1.4854251281631804e-05,-2.772658675108657e-07,1.7606225765518999e-06,2.4487728615300375e-06,-6.019490461639521e-16,-4.1335207826009857e-17,1.336821278674627e-16
CPT11,0.00917463421120609,0.0003871154352155274,5.148616794041982e-05,0.0001148237414760654,5.406655717387406e-06,1.2462747350782907e-05,6.364045680700083e-06,4.1546791093298343e-05,-1.2368879765554692e-05,-1.953233449897393e-06,-9.186261368487945e-06,-8.192476144384736e-06,-4.0305576158645615e-06,1.3812193576379084e-15,-1.3861524775227174e-16,-9.846182029427109e-16
CPT12,-0.011110735917460784,1.5703345855888303e-05,8.290690865805363e-05,-0.00017688638878635366,-0.00010729383217178587,1.7667163715284133e-05,2.2011353493718838e-05,-5.9530224955799994e-08,-3.719582600518294e-06,1.504766216412596e-05,-2.198029282305769e-06,-6.119508824574109e-06,5.463358694162139e-07,4.91631475113552e-16,-1.2671612890924333e-16,-4.1579153314819095e-16
CPT13,-0.006673316998362781,-0.0006891406932946943,0.0003139381729071166,0.00016401987641950395,-6.951026159106984e-05,-3.218871684672179e-06,8.853565561641191e-06,1.9033033653992684e-05,4.346834505365108e-07,1.792877943579841e-06,3.460715279733227e-06,5.1983030846321665e-06,2.039858659138162e-06,-1.0139458717084437e-15,9.677859642148734e-17,7.897870725470657e-16
CPT15,0.0056735557052331655,-0.0003305758716272626,0.00013853081002155064,-0.00010266833387798785,5.065157429166438e-05,2.121097722942555e-05,3.421478970252919e-05,-3.860554980741383e-06,-1.861540688057517e-05,-6.674159966268717e-06,1.2295032968984588e-05,3.7933860467139873e-06,-5.752836644045556e-06,5.110386940010425e-16,4.2939827041288403e-16,1.189911884302841e-16
CPT16,0.0037262148635560724,-0.0006605571976048631,0.00011859043950114993,-1.8218438193876388e-05,9.845733162944196e-05,-5.9490359781164484e-05,4.130659305679329e-05,-1.747208826861121e-05,2.275058565822264e-05,-5.657404017315483e-07,-4.533569351191876e-06,-4.961616003521218e-06,3.252914070411893e-06,1.6906777627195835e-16,-2.724464534184512e-16,-5.019856058607886e-16
