component,eigenvalue,explained_variance_ratio
1,5.529961065837323,0.9687218469356409
2,0.1033114201127911,0.0180977819752612
3,0.045579396100268364,0.007984460694530683
4,0.01032920009374653,0.001809438018288624
5,0.006130899035020471,0.0010739923420566959
6,0.0047869663696843935,0.0008385662842198175
7,0.003184928142259819,0.0005579260749930916
8,0.0016474706955969189,0.00028859893153141786
9,0.001182848721818688,0.00020720786001992612
10,0.0009430201395128515,0.00016519541464584856
11,0.0005739578521568194,0.00010054419985692606
12,0.00046721794498638994,8.184582589283726e-05
13,0.0004144120161635202,7.259544306203214e-05
14,8.413643621633803e-30,1.4738766316021541e-30
