component,eigenvalue,explained_variance_ratio
1,7.9031774729726525,0.9811401781707625
2,0.08497805614945692,0.010549603047155529
3,0.03798105919705262,0.00471515960702499
4,0.009939495180525127,0.001233938894286248
5,0.005632451165873937,0.0006992408002126104
6,0.005133277696768636,0.0006372708965768924
7,0.0028538074747608217,0.000354286005069138
8,0.00188805944208992,0.00023439318979538557
9,0.0011058276065059173,0.00013728299770361465
10,0.0009628328404375319,0.00011953090865618858
11,0.0005450509826602008,6.766536877960719e-05
12,0.000499635825628979,6.20273028986817e-05
13,0.00039810544492721524,4.9422811078506856e-05
14,9.687773462916133e-30,1.2026888949399164e-30
