component,eigenvalue,explained_variance_ratio
1,0.9752214106160296,0.8968346754277349
2,0.05514704926684263,0.05071441776363844
3,0.024314677538614566,0.022360302697516477
4,0.01276452022564391,0.011738528532023135
5,0.006875448552873379,0.006322811009082796
6,0.004931077410067152,0.004534725304864959
7,0.003018283746466669,0.00277567893264499
8,0.001414111351809586,0.001300447346021363
9,0.0011100627367222676,0.0010208376716871626
10,0.0009037207314188057,0.0008310811063175174
11,0.0006826753322289265,0.0006278029823148624
12,0.0005553579505718808,0.0005107191678992431
13,0.0004653784312654835,0.00042797205825434545
14,1.6093721815991942e-30,1.4800134230186835e-30
