component,eigenvalue,explained_variance_ratio
1,1.003559305840312,0.9061497923034262
2,0.058591409593135954,0.05290429108136165
3,0.013285333550732449,0.011995805497112827
4,0.010665311369647037,0.00963009323536166
5,0.00587848731550573,0.0053078976289732595
6,0.005609132666620478,0.00506468762860466
7,0.0031150562851758393,0.0028126963592470765
8,0.002088184523170362,0.0018854969117920208
9,0.0014564359476492996,0.001315068400826186
10,0.0010894164457530475,0.0009836732919580355
11,0.0009257627169506846,0.0008359044540817623
12,0.0006297636299049063,0.0005686362321763841
13,0.0006046463924421412,0.0005459569750785061
14,1.0154539950006177e-30,9.168899349630568e-31
