component,eigenvalue,explained_variance_ratio
1,1.2792341440745374,0.9222254778400116
2,0.05265845489784468,0.03796253325118555
3,0.023301992282029556,0.016798872252167488
4,0.010420936103236982,0.007512661244904967
5,0.008172387753111408,0.005891637770628393
6,0.0047541402418571155,0.003427354778305261
7,0.0031656525700671074,0.0022821822475803857
8,0.0015706034327065113,0.001132279425103062
9,0.0010692337017381018,0.0007708319591652563
10,0.0010413672361023732,0.0007507424667876007
11,0.0006415641101095713,0.0004625163976051021
12,0.0005947476763970566,0.00042876549426087946
13,0.0004912401830940908,0.00035414487229459504
14,1.1649360872435022e-30,8.398257228260895e-31
