gain_setting,component,model,pc_rms,n_samples
L3,PC1,mean,0.9653375048553171,14
L3,PC1,linear,0.11123980058148862,14
L3,PC1,quadratic,0.030188140791889948,14
L3,PC2,mean,0.23325160001147255,14
L3,PC2,linear,0.2121453922459715,14
L3,PC2,quadratic,0.16875558887231676,14
L3,PC3,mean,0.11106926286894828,14
L3,PC3,linear,0.06248327450015634,14
L3,PC3,quadratic,0.02554429554668362,14
M3,PC1,mean,1.089890029608787,14
M3,PC1,linear,0.0509987921721335,14
M3,PC1,quadratic,0.02322323808199915,14
M3,PC2,mean,0.22112696961441797,14
M3,PC2,linear,0.13219424574875394,14
M3,PC2,quadratic,0.02129570403147683,14
M3,PC3,mean,0.14709712526723484,14
M3,PC3,linear,0.11385708233700766,14
M3,PC3,quadratic,0.1292001042106807,14
H3,PC1,mean,0.951610602310194,14
H3,PC1,linear,0.028330487637488622,14
H3,PC1,quadratic,0.035981299508423964,14
H3,PC2,mean,0.22629179021610796,14
H3,PC2,linear,0.1658814731550987,14
H3,PC2,quadratic,0.07060670416012753,14
H3,PC3,mean,0.1502594917377433,14
H3,PC3,linear,0.09999274623770892,14
H3,PC3,quadratic,0.10990829214074761,14
