gain,model,case,CPT,nRMS_masked
L3,Actual,PC123,CPT2,0.007629101024094897
L3,Actual,PC123,CPT3,0.006284987755773622
L3,Actual,PC123,CPT4,0.013413510833858956
L3,Actual,PC123,CPT5,0.007004603743431963
L3,Actual,PC123,CPT6,0.007216138006657395
L3,Actual,PC123,CPT7,0.009567436620443405
L3,Actual,PC123,CPT8,0.011874006375198785
L3,Actual,PC123,CPT9,0.007239967564772581
L3,Actual,PC123,CPT10,0.007265400046770527
L3,Actual,PC123,CPT11,0.006823895351453376
L3,Actual,PC123,CPT12,0.0030270966757662476
L3,Actual,PC123,CPT13,0.009274456556635287
L3,Actual,PC123,CPT15,0.011492318674077084
L3,Actual,PC123,CPT16,0.009278665948472212
L3,Actual,PC123,GLOBAL,0.008829631148908125
L3,Mean only,PC123,CPT2,0.028734148920845907
L3,Mean only,PC123,CPT3,0.029049526500155697
L3,Mean only,PC123,CPT4,0.041860322297508426
L3,Mean only,PC123,CPT5,0.06592536413244453
L3,Mean only,PC123,CPT6,0.03748967751087354
L3,Mean only,PC123,CPT7,0.08150732297702357
L3,Mean only,PC123,CPT8,0.03744495020239427
L3,Mean only,PC123,CPT9,0.02609881822520386
L3,Mean only,PC123,CPT10,0.07194904712961195
L3,Mean only,PC123,CPT11,0.03218979486194614
L3,Mean only,PC123,CPT12,0.05563569407136256
L3,Mean only,PC123,CPT13,0.04594949101063384
L3,Mean only,PC123,CPT15,0.03283751337842246
L3,Mean only,PC123,CPT16,0.03460520481313985
L3,Mean only,PC123,GLOBAL,0.04639629202269059
L3,Linear,PC123,CPT2,0.007606311657076067
L3,Linear,PC123,CPT3,0.012813767777838702
L3,Linear,PC123,CPT4,0.011995956091542503
L3,Linear,PC123,CPT5,0.007954370665576653
L3,Linear,PC123,CPT6,0.008725896567465983
L3,Linear,PC123,CPT7,0.012516429020660092
L3,Linear,PC123,CPT8,0.009392567087837528
L3,Linear,PC123,CPT9,0.008723621821229556
L3,Linear,PC123,CPT10,0.01116053953913846
L3,Linear,PC123,CPT11,0.007507966430118646
L3,Linear,PC123,CPT12,0.03141599365644526
L3,Linear,PC123,CPT13,0.012987362653638826
L3,Linear,PC123,CPT15,0.013156803112047036
L3,Linear,PC123,CPT16,0.009775865047611857
L3,Linear,PC123,GLOBAL,0.01305798753134006
L3,Quadratic,PC123,CPT2,0.008617324010032547
L3,Quadratic,PC123,CPT3,0.00982840162668428
L3,Quadratic,PC123,CPT4,0.012784351253410202
L3,Quadratic,PC123,CPT5,0.009392976787327234
L3,Quadratic,PC123,CPT6,0.0083862678047633
L3,Quadratic,PC123,CPT7,0.009995171023839454
L3,Quadratic,PC123,CPT8,0.010331038506332203
L3,Quadratic,PC123,CPT9,0.012372890483222012
L3,Quadratic,PC123,CPT10,0.01199129194050002
L3,Quadratic,PC123,CPT11,0.006567874737735935
L3,Quadratic,PC123,CPT12,0.016260633175095122
L3,Quadratic,PC123,CPT13,0.011766893993798528
L3,Quadratic,PC123,CPT15,0.01230633204876938
