CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT2,32.146,30.99425,5.559,4.0155,1.8935,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.171749999999999,0.116875,-4.99475,0.091625,1.9044999999999999,0.19825,1.9057499999999998,0.1985,3.363,0.0,2.551,0.0,1.802,0.0,1.4985,0.0,1.024375,0.0011250000000000001,43.576249999999995,38.369,36.666,967.75,1390.75,1411.75,1236.125,1303.875,1668.625,1385.375,1387.375,15.0,28.116875,28.575625000000002,28.74775,29.034625,2491.375,1172.875,2491.875,607.375,29.875,0.0,1.0
CPT3,33.70625,32.418375,5.5625,4.015000000000001,1.8918749999999998,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.11775,-4.99475,0.092125,1.904,0.199,1.9052499999999999,0.19825,3.36,0.0,2.551,0.0,1.802,0.0,1.4997500000000001,0.0,1.020875,0.001375,48.204875,41.5985,39.266,967.625,1390.625,1412.75,1227.375,1305.5,1667.5,1385.125,1387.125,15.0,28.460875,29.034625,28.919874999999998,29.378875,2490.625,1149.0,2490.625,607.0,31.625,0.0,1.0
CPT4,51.448750000000004,50.05575,5.5835,4.0169999999999995,1.8711250000000001,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.159750000000001,0.119125,-4.9935,0.094125,1.901,0.2,1.9024999999999999,0.19725,3.35975,0.0,2.548,0.0,1.8,0.0,1.5,0.0,1.019625,0.0015,66.793,58.84,56.123,967.75,1391.75,1417.75,1226.875,1315.125,1682.5,1389.5,1389.75,14.875,46.02,46.814375,46.50875,46.997749999999996,2485.75,761.75,2485.75,591.375,32.875,0.0,1.0
CPT5,-12.155750000000001,-13.25375,5.51675,4.00925,1.9148749999999999,3.25,2.455875,1.198,0.0,0.0,0.0,0.0,3.24575,0.0,0.0,0.0,5.18675,0.11325,-4.984624999999999,0.08725,1.9092500000000001,0.195,1.908625,0.2,3.3635,0.0,2.551,0.0,1.802,0.0,1.495,0.0,1.0211249999999998,0.001375,15.16225,9.396374999999999,8.019125,965.625,1387.625,1401.0,1225.0,1281.5,1630.0,1374.5,1377.5,18.0,-17.704,-16.11375,-16.88625,-15.72675,2498.625,2159.375,2500.625,682.125,30.875,0.0,1.0
CPT6,50.887375000000006,49.52875,5.5855,4.0175,1.872,3.245,2.451,1.197,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.158125,0.119125,-4.9935,0.094125,1.901,0.2,1.9032499999999999,0.1965,3.36,0.0,2.548,0.0,1.8,0.0,1.5,0.0,1.019625,0.0015,66.15925,58.3215,55.584,967.75,1391.75,1418.125,1227.125,1314.625,1682.125,1389.5,1390.0,14.875,44.19525,44.5595,44.5595,44.5595,2485.75,769.25,2485.75,590.375,32.75,0.0,1.0
CPT7,-19.653,-20.836375,5.50725,4.00775,1.916625,3.254,2.458,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.18675,0.1125,-4.981875,0.086375,1.91025,0.194125,1.909,0.2005,3.3635,0.0,2.551,0.0,1.802,0.0,1.4947500000000002,0.0,1.0227499999999998,0.00125,11.809125000000002,6.02925,4.856125,964.875,1386.875,1398.875,1230.75,1279.25,1625.75,1373.375,1376.125,18.0,-21.376,-17.223125000000003,-19.856499999999997,-17.271250000000002,2499.75,2255.875,2501.75,694.75,30.375,0.0,1.0
CPT8,45.94525,44.466375,5.57725,4.0175,1.878625,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.23775,0.0,0.0,0.0,5.1465000000000005,0.130125,-4.980499999999999,0.107,1.9013749999999998,0.2,1.908625,0.18725,3.36,0.0,2.551,0.0,1.8002500000000001,0.0,1.5,0.0,1.020375,0.00125,59.304625,52.720625,50.429874999999996,967.75,1391.875,1416.25,1233.0,1313.0,1679.0,1387.625,1388.25,15.0,31.746,29.7815,30.4155,28.575625,2486.875,848.375,2486.75,572.625,34.875,0.0,1.0
CPT9,34.329125000000005,33.06037500000001,5.564,4.0175,1.89175,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.16475,0.1175,-4.99475,0.09225,1.904,0.199,1.9057499999999998,0.197625,3.362625,0.0,2.551,0.0,1.802,0.0,1.5,0.0,1.0241250000000002,0.0011250000000000001,48.771,42.137,39.7635,967.875,1391.375,1413.0,1242.875,1307.0,1672.875,1386.75,1388.875,15.0,29.034625,29.954375,29.954375,30.35775,2490.875,1131.75,2490.875,611.5,29.875,0.0,1.0
CPT10,-16.499375,-17.67975,5.5095,4.00925,1.915625,3.25225,2.457,1.198375,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.18675,0.113,-4.981875,0.086625,1.91025,0.195,1.90825,0.20037500000000003,3.364,0.0,2.551,0.0,1.802,0.0,1.495,0.0,1.0227499999999998,0.00125,13.11675,7.318125,6.09575,965.125,1387.0,1399.0,1230.875,1279.75,1627.625,1374.0,1376.875,18.0,-18.375875,-13.39175,-15.048,-12.363624999999999,2499.75,2220.25,2500.75,662.5,33.0,0.0,1.0
CPT11,49.78175,48.411,5.58425,4.01725,1.872875,3.2455,2.451,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.158125,0.119,-4.99475,0.094,1.901,0.2,1.9024999999999999,0.19737500000000002,3.36,0.0,2.5495,0.0,1.8,0.0,1.5,0.0,1.0185,0.00175,64.82374999999999,57.2215,54.501375,967.625,1391.625,1418.0,1220.375,1313.625,1679.875,1388.625,1389.75,14.125,38.49475,35.187999999999995,36.187250000000006,35.011874999999996,2485.625,784.25,2485.625,647.25,28.25,0.0,1.0
CPT12,-12.3105,-13.269625,5.51825,4.00975,1.914375,3.2512499999999998,2.4555,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.188375000000001,0.1135,-4.98325,0.0875,1.90975,0.195,1.908625,0.2,3.364,0.0,2.551,0.0,1.802375,0.0,1.495,0.0,1.0227499999999998,0.00125,15.132625,9.268125000000001,7.873,965.75,1387.75,1401.625,1232.25,1282.375,1633.0,1375.0,1378.75,17.625,-14.075,-5.600875,-8.606625000000001,-5.802375,2499.125,2171.75,2500.75,751.75,25.5,0.0,1.0
CPT13,2.3369999999999997,1.10025,5.529,4.01225,1.9105,3.24725,2.452,1.19625,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,5.18025,0.11475,-4.9872499999999995,0.088875,1.909,0.196125,1.90825,0.199625,3.36425,0.0,2.551,0.0,1.802,0.0,1.4953750000000001,0.0,1.0227499999999998,0.00125,23.14475,17.409125000000003,15.662625000000002,965.75,1388.875,1404.125,1242.125,1289.75,1644.25,1378.25,1381.875,17.0,-5.298375,-3.67925,-4.540875,-3.932875,2496.875,1901.75,2497.75,660.875,29.75,0.0,1.0
CPT15,39.028375,37.6605,5.5715,4.0177499999999995,1.887875,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.117875,-4.996,0.09275,1.904,0.199,1.9049999999999998,0.198,3.36,0.0,2.551,0.0,1.8015,0.0,1.5,0.0,1.025625,0.001,53.26049999999999,46.28475,43.88875,968.0,1392.0,1415.0,1249.875,1310.625,1678.5,1388.875,1390.125,15.0,33.4905,34.015875,34.07425,34.191,2489.375,1020.875,2489.625,603.25,29.625,0.0,1.0
CPT16,35.6515,34.420249999999996,5.562,4.017,1.8907500000000002,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.16475,0.11775,-4.9935,0.09225,1.904,0.199,1.9052499999999999,0.19825,3.363,0.0,2.551,0.0,1.802,0.0,1.5,0.0,1.0227499999999998,0.00125,46.8,41.44,39.6865,967.75,1391.75,1412.75,1235.625,1306.125,1670.0,1385.75,1387.75,15.0,31.63,32.152,32.21,32.21,2490.375,1090.0,2490.375,606.5,30.75,0.0,1.0
