CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT2,31.507428571428573,30.36357142857143,5.558142857142857,4.015428571428571,1.8935714285714287,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.163142857142857,0.121,-4.990285714285714,0.09699999999999999,1.9051428571428572,0.19900000000000004,1.9122857142857141,0.18442857142857141,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4994285714285716,0.0,1.0204285714285712,0.0014285714285714286,42.94928571428572,37.79628571428571,36.18157142857143,967.5714285714286,1390.5714285714287,1411.142857142857,1228.0,1303.7142857142858,1663.7142857142858,1383.857142857143,1385.5714285714287,15.0,27.521142857142852,28.043428571428574,28.30514285714286,28.43628571428572,2491.5714285714284,1187.4285714285713,2491.5714285714284,607.5714285714286,31.571428571428573,0.0,1.0
CPT3,31.572857142857146,30.22214285714286,5.561,4.015428571428571,1.8944285714285714,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.163142857142858,0.12214285714285714,-4.985857142857143,0.09814285714285713,1.9048571428571428,0.19885714285714287,1.9111428571428573,0.186,3.362142857142857,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4994285714285716,0.0,1.024142857142857,0.001142857142857143,45.684714285714286,39.46971428571429,37.28228571428571,967.5714285714286,1390.857142857143,1412.142857142857,1243.4285714285713,1306.5714285714287,1669.7142857142858,1385.5714285714287,1387.4285714285713,15.0,27.194857142857142,27.978142857142863,27.782285714285713,28.10871428571429,2491.1428571428573,1189.2857142857142,2491.714285714286,609.8571428571429,29.857142857142858,0.0,1.0
CPT4,49.91528571428572,48.437000000000005,5.580857142857142,4.017428571428572,1.8724285714285713,3.2420000000000004,2.4499999999999997,1.1970000000000003,0.0,0.0,0.0,0.0,3.234000000000001,0.0,0.0,0.0,5.153571428571429,0.12328571428571429,-4.9871428571428575,0.09957142857142856,1.901,0.19999999999999998,1.9095714285714287,0.18471428571428575,3.36,0.0,2.5479999999999996,0.0,1.8000000000000003,0.0,1.5,0.0,1.0195714285714284,0.0012857142857142859,64.28557142857142,56.99928571428571,54.42328571428572,967.7142857142857,1391.7142857142858,1417.7142857142858,1228.5714285714287,1315.142857142857,1681.2857142857142,1388.857142857143,1389.142857142857,15.0,45.02814285714286,46.002571428571436,45.932857142857145,46.002571428571436,2486.285714285714,779.0,2485.8571428571427,592.5714285714286,33.0,0.0,1.0
CPT5,-14.690285714285716,-15.903142857142857,5.513428571428571,4.009428571428571,1.9154285714285717,3.2519999999999993,2.4564285714285714,1.1985714285714284,0.0,0.0,0.0,0.0,3.2459999999999996,0.0,0.0,0.0,5.180571428571429,0.117,-4.976714285714285,0.09185714285714285,1.909857142857143,0.19500000000000003,1.914142857142857,0.18728571428571428,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4949999999999999,0.0,1.022285714285714,0.0012857142857142859,13.712714285714284,8.049571428571427,6.850428571428572,965.5714285714286,1387.7142857142858,1400.0,1231.2857142857142,1281.857142857143,1630.0,1374.2857142857142,1377.142857142857,18.0,-19.25671428571429,-17.669714285714285,-18.382714285714286,-17.229999999999997,2499.4285714285716,2191.5714285714284,2500.714285714286,684.4285714285714,30.285714285714285,0.0,1.0
CPT6,49.519285714285715,48.08828571428571,5.582285714285715,4.017428571428572,1.8734285714285714,3.244,2.451,1.1968571428571428,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.153571428571429,0.12342857142857143,-4.9871428571428575,0.09999999999999999,1.901,0.19999999999999998,1.9095714285714287,0.1847142857142857,3.36,0.0,2.5488571428571425,0.0,1.8000000000000003,0.0,1.5,0.0,1.0195714285714284,0.0012857142857142859,64.20985714285713,56.74700000000001,54.126285714285714,967.7142857142857,1391.7142857142858,1417.7142857142858,1228.2857142857142,1314.857142857143,1681.4285714285713,1388.857142857143,1389.2857142857142,15.0,42.951,43.08899999999999,43.43442857142857,43.08899999999999,2486.1428571428573,790.7142857142857,2485.714285714286,590.5714285714286,32.857142857142854,0.0,1.0
CPT7,-23.203285714285716,-24.52628571428571,5.503999999999999,4.007142857142857,1.9172857142857143,3.256,2.4600000000000004,1.1997142857142857,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,5.184428571428571,0.1162857142857143,-4.975285714285714,0.09085714285714284,1.9107142857142854,0.19471428571428576,1.9145714285714284,0.18728571428571428,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.493,0.0,1.022285714285714,0.0012857142857142859,10.192714285714287,4.513571428571429,3.5188571428571436,964.7142857142857,1386.7142857142858,1398.0,1229.5714285714287,1277.7142857142858,1623.0,1372.2857142857142,1375.142857142857,18.714285714285715,-21.862714285714283,-17.285,-20.12842857142857,-17.285,2499.8571428571427,2287.1428571428573,2501.8571428571427,706.4285714285714,30.428571428571427,0.0,1.0
CPT8,45.24471428571428,43.76142857142856,5.576,4.017714285714286,1.8802857142857141,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236571428571429,0.0,0.0,0.0,5.1499999999999995,0.12728571428571428,-4.986,0.10385714285714286,1.9022857142857141,0.19999999999999998,1.9090000000000003,0.18671428571428575,3.36,0.0,2.5509999999999997,0.0,1.8008571428571432,0.0,1.5,0.0,1.0232857142857141,0.001142857142857143,57.79514285714286,51.627571428571436,49.424571428571426,967.8571428571429,1391.857142857143,1415.857142857143,1240.5714285714287,1313.4285714285713,1680.2857142857142,1388.142857142857,1388.7142857142858,15.0,30.869,28.698571428571427,29.485428571428567,27.65171428571428,2487.5714285714284,860.1428571428571,2487.0,571.2857142857143,33.857142857142854,0.0,1.0
CPT9,32.40942857142857,31.07971428571429,5.561857142857143,4.016857142857142,1.8935714285714285,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.161285714285715,0.12128571428571429,-4.985714285714287,0.09742857142857142,1.904,0.19900000000000004,1.9122857142857141,0.184,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.5,0.0,1.0222857142857142,0.0012857142857142859,46.56428571428571,40.24285714285715,38.02657142857144,967.7142857142857,1390.7142857142858,1412.7142857142858,1235.5714285714287,1306.857142857143,1669.142857142857,1385.4285714285713,1387.142857142857,15.0,27.97814285714286,28.698571428571427,28.501857142857144,28.960857142857144,2490.714285714286,1169.7142857142858,2490.714285714286,614.1428571428571,30.857142857142858,0.0,1.0
CPT10,-19.29042857142857,-20.60814285714286,5.505714285714285,4.008,1.917142857142857,3.2540000000000004,2.4580000000000006,1.199,0.0,0.0,0.0,0.0,3.2480000000000007,0.0,0.0,0.0,5.184428571428571,0.11642857142857142,-4.978285714285714,0.09128571428571428,1.9109999999999998,0.19500000000000003,1.9145714285714284,0.1871428571428571,3.363,0.0,2.5509999999999997,0.0,1.8024285714285713,0.0,1.493285714285714,0.0,1.026,0.001,11.678571428571429,6.021,4.911142857142857,965.1428571428571,1387.0,1398.2857142857142,1244.5714285714287,1280.2857142857142,1629.4285714285713,1374.4285714285713,1376.7142857142858,18.142857142857142,-18.710999999999995,-12.903000000000002,-14.854,-11.781142857142855,2499.8571428571427,2248.1428571428573,2501.8571428571427,667.4285714285714,32.0,0.0,1.0
CPT11,46.44785714285714,44.94957142857144,5.579999999999999,4.018,1.878,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.237428571428572,0.0,0.0,0.0,5.155571428571428,0.123,-4.990142857142858,0.09957142857142856,1.901,0.19999999999999998,1.9105714285714286,0.18299999999999997,3.36,0.0,2.5509999999999997,0.0,1.8000000000000003,0.0,1.5,0.0,1.023,0.001,60.28614285714286,53.42385714285715,50.965428571428575,968.0,1392.0,1417.0,1248.0,1315.142857142857,1684.4285714285713,1390.0,1390.7142857142858,14.714285714285714,33.990857142857145,29.617142857142856,30.935285714285715,29.683,2487.0,838.2857142857143,2487.0,648.2857142857143,25.285714285714285,0.0,1.0
