CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT2,31.895000000000003,30.74757142857143,5.558714285714286,4.015428571428571,1.8935714285714285,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.173,0.11571428571428573,-4.994571428571429,0.09214285714285712,1.9051428571428572,0.19828571428571432,1.9084285714285716,0.19300000000000003,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4994285714285716,0.0,1.0222857142857142,0.0012857142857142859,43.41328571428572,38.15814285714286,36.47185714285714,967.4285714285714,1390.857142857143,1411.7142857142858,1234.857142857143,1304.142857142857,1666.0,1384.5714285714287,1386.7142857142858,15.0,27.912857142857145,28.501857142857144,28.501857142857144,28.56742857142857,2491.0,1178.4285714285713,2491.285714285714,607.7142857142857,30.857142857142858,0.0,1.0
CPT3,32.94442857142857,31.644428571428573,5.561714285714286,4.015142857142857,1.893857142857143,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.171,0.11628571428571428,-4.994571428571429,0.09285714285714285,1.9042857142857141,0.19900000000000004,1.9072857142857145,0.19342857142857145,3.36,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.5,0.0,1.026,0.001,47.33814285714286,40.827285714285715,38.525571428571425,967.8571428571429,1391.0,1412.7142857142858,1242.5714285714287,1306.7142857142858,1671.0,1386.2857142857142,1388.142857142857,15.0,28.10871428571429,28.56742857142857,28.56742857142857,28.960857142857144,2491.0,1164.0,2491.1428571428573,608.7142857142857,30.0,0.0,1.0
CPT4,51.08271428571429,49.64071428571429,5.582,4.018,1.8714285714285717,3.2420000000000004,2.4499999999999997,1.1970000000000003,0.0,0.0,0.0,0.0,3.234000000000001,0.0,0.0,0.0,5.163000000000001,0.11757142857142858,-4.996000000000001,0.09457142857142856,1.901,0.19999999999999998,1.9057142857142857,0.19142857142857145,3.36,0.0,2.5479999999999996,0.0,1.8000000000000003,0.0,1.5,0.0,1.023,0.001,66.14928571428571,58.38285714285714,55.660428571428575,968.0,1392.0,1418.0,1243.857142857143,1316.5714285714287,1686.7142857142858,1391.0,1391.0,15.0,45.72371428571429,46.63100000000001,46.63100000000001,46.770714285714284,2486.0,765.0,2486.0,589.8571428571429,31.0,0.0,1.0
CPT5,-13.170857142857141,-14.304142857142859,5.514285714285714,4.009714285714285,1.9152857142857143,3.2517142857142853,2.456,1.1980000000000002,0.0,0.0,0.0,0.0,3.2459999999999996,0.0,0.0,0.0,5.19,0.11157142857142857,-4.984428571428571,0.08742857142857141,1.9095714285714287,0.19500000000000003,1.9104285714285716,0.1947142857142857,3.363285714285714,0.0,2.5509999999999997,0.0,1.8024285714285713,0.0,1.4949999999999999,0.0,1.026,0.001,14.612428571428572,8.819,7.516857142857142,966.0,1388.0,1400.4285714285713,1245.5714285714287,1283.0,1634.7142857142858,1376.0,1379.0,18.0,-18.273142857142858,-16.73485714285714,-17.505,-16.29342857142857,2499.0,2173.0,2501.0,680.2857142857143,28.0,0.0,1.0
CPT6,50.41442857142857,49.028,5.5845714285714285,4.018,1.8731428571428572,3.2445714285714287,2.451,1.1970000000000003,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163000000000001,0.11757142857142858,-4.996000000000001,0.09457142857142856,1.901,0.19999999999999998,1.9057142857142857,0.19085714285714286,3.36,0.0,2.5479999999999996,0.0,1.8000000000000003,0.0,1.5,0.0,1.023,0.001,65.51642857142858,57.733571428571416,55.05200000000001,968.1428571428571,1392.142857142857,1418.0,1244.0,1316.5714285714287,1686.7142857142858,1391.0,1391.2857142857142,15.0,43.711000000000006,44.195,44.195,44.125857142857136,2486.0,777.4285714285714,2486.0,588.1428571428571,31.0,0.0,1.0
CPT7,-20.949,-22.185857142857145,5.506285714285715,4.007714285714285,1.9168571428571428,3.255714285714286,2.459,1.199,0.0,0.0,0.0,0.0,3.249714285714286,0.0,0.0,0.0,5.19,0.11085714285714286,-4.979714285714286,0.0867142857142857,1.9107142857142858,0.19428571428571426,1.9114285714285713,0.19485714285714287,3.363285714285714,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4932857142857145,0.0,1.024142857142857,0.001142857142857143,11.190857142857142,5.476285714285715,4.339285714285714,964.8571428571429,1386.857142857143,1398.5714285714287,1236.7142857142858,1279.0,1626.5714285714287,1373.7142857142858,1376.5714285714287,18.571428571428573,-21.430142857142858,-17.175,-19.911285714285714,-17.23,2500.0,2268.285714285714,2501.8571428571427,699.8571428571429,29.714285714285715,0.0,1.0
CPT8,45.64785714285714,44.16871428571427,5.5768571428571425,4.017428571428572,1.8789999999999998,3.244,2.450142857142857,1.196,0.0,0.0,0.0,0.0,3.237142857142857,0.0,0.0,0.0,5.161142857142857,0.11857142857142856,-4.993142857142857,0.09514285714285713,1.9014285714285715,0.19999999999999998,1.9107142857142858,0.18271428571428575,3.36,0.0,2.5509999999999997,0.0,1.8000000000000003,0.0,1.5,0.0,1.0205714285714282,0.0012857142857142859,58.70585714285714,52.22800000000001,49.94142857142857,967.7142857142857,1391.7142857142858,1416.142857142857,1232.142857142857,1313.4285714285713,1678.7142857142858,1388.5714285714287,1389.142857142857,15.0,31.265714285714285,29.22314285714285,30.27542857142857,28.23985714285714,2487.285714285714,853.8571428571429,2487.1428571428573,571.7142857142857,33.57142857142857,0.0,1.0
CPT9,33.639428571428574,32.35557142857142,5.563714285714286,4.016285714285714,1.8922857142857143,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.173,0.116,-4.994571428571429,0.09271428571428571,1.904,0.19900000000000004,1.9081428571428574,0.192,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.5,0.0,1.022285714285714,0.0012857142857142859,48.01642857142856,41.428714285714285,39.12485714285714,967.7142857142857,1391.5714285714287,1413.0,1233.857142857143,1306.7142857142858,1669.7142857142858,1386.142857142857,1387.857142857143,15.0,28.56742857142857,29.419857142857136,29.35428571428571,29.683285714285716,2490.714285714286,1145.5714285714287,2490.714285714286,611.7142857142857,31.0,0.0,1.0
CPT10,-17.538285714285713,-18.75257142857143,5.508000000000001,4.008571428571428,1.9165714285714286,3.2540000000000004,2.4570000000000003,1.199,0.0,0.0,0.0,0.0,3.2480000000000007,0.0,0.0,0.0,5.19,0.11085714285714286,-4.981285714285713,0.0867142857142857,1.9101428571428571,0.19500000000000003,1.9107142857142858,0.19471428571428576,3.363285714285714,0.0,2.5509999999999997,0.0,1.8024285714285713,0.0,1.4949999999999999,0.0,1.0204285714285712,0.0014285714285714286,12.571285714285716,6.8229999999999995,5.665714285714286,965.0,1386.857142857143,1399.0,1222.0,1279.2857142857142,1624.5714285714287,1373.2857142857142,1375.857142857143,18.0,-18.710999999999995,-13.238142857142856,-15.020285714285716,-12.286428571428571,2499.5714285714284,2230.8571428571427,2501.4285714285716,664.1428571428571,34.0,0.0,1.0
CPT11,48.645714285714284,47.23657142857143,5.583428571428571,4.016571428571429,1.8754285714285717,3.244285714285714,2.4505714285714286,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.161142857142857,0.1172857142857143,-4.994571428571429,0.09414285714285713,1.901,0.19999999999999998,1.9054285714285715,0.191,3.36,0.0,2.5497142857142854,0.0,1.8000000000000003,0.0,1.5,0.0,1.0178571428571428,0.0014285714285714286,63.27928571428571,55.96857142857142,53.30728571428572,967.5714285714286,1391.5714285714287,1417.5714285714287,1219.0,1313.4285714285713,1678.142857142857,1388.2857142857142,1390.2857142857142,14.142857142857142,36.608428571428576,32.990857142857145,34.124857142857145,32.924285714285716,2486.5714285714284,802.7142857142857,2486.1428571428573,646.4285714285714,28.0,0.0,1.0
