CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT1,30.595375,29.159875,5.555,4.0155,1.894625,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.17,0.118,-4.9935,0.09275,1.9052499999999999,0.1985,1.90475,0.200625,3.363,0.0,2.551,0.0,1.802,0.0,1.4985,0.0,1.0225,0.00125,42.338375,37.140875,35.416124999999994,967.125,1390.75,1410.75,1236.0,1303.0,1665.125,1384.25,1386.625,15.0,25.32775,26.06525,25.838250000000002,26.235500000000002,2491.75,1205.125,2491.75,610.0,30.75,0.0,1.0
CPT2,32.06799999999999,30.919428571428575,5.558999999999999,4.015999999999999,1.894,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.173,0.117,-4.996000000000001,0.09185714285714285,1.9048571428571428,0.19885714285714287,1.9054285714285712,0.1985714285714286,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.499142857142857,0.0,1.026,0.001,43.56371428571429,38.301857142857145,36.611285714285714,967.8571428571429,1391.0,1411.857142857143,1251.2857142857142,1305.2857142857142,1670.4285714285713,1386.0,1388.0,15.0,28.174000000000003,28.633000000000003,28.633000000000003,28.960857142857133,2491.714285714286,1174.857142857143,2492.0,608.8571428571429,29.0,0.0,1.0
CPT3,33.481857142857145,32.187999999999995,5.561999999999999,4.014857142857142,1.891857142857143,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.165,0.1177142857142857,-4.991714285714286,0.09199999999999998,1.904,0.19900000000000004,1.9051428571428572,0.19842857142857143,3.3604285714285713,0.0,2.5509999999999997,0.0,1.8017142857142854,0.0,1.5,0.0,1.0204285714285712,0.0014285714285714286,47.94242857142856,41.38357142857142,39.08142857142857,967.5714285714286,1390.5714285714287,1412.7142857142858,1224.2857142857142,1305.0,1666.2857142857142,1384.7142857142858,1386.857142857143,15.0,28.04342857142857,28.89528571428571,28.82971428571429,29.09199999999999,2490.5714285714284,1153.2857142857142,2490.5714285714284,608.0,32.0,0.0,1.0
CPT4,51.352500000000006,49.95525,5.583,4.0169999999999995,1.8703750000000001,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.158125,0.118625,-4.99225,0.09375,1.9005,0.2,1.9021249999999998,0.197,3.35975,0.0,2.548,0.0,1.8,0.0,1.5,0.0,1.018125,0.00175,66.57150000000001,58.772125,56.058499999999995,967.625,1391.625,1417.625,1219.25,1314.25,1680.5,1388.75,1389.125,14.875,45.715250000000005,46.631,46.50875,46.936625,2485.75,762.5,2485.625,591.75,33.75,0.0,1.0
CPT5,-12.460857142857142,-13.572285714285714,5.515999999999999,4.009714285714286,1.9155714285714285,3.250285714285714,2.456,1.1980000000000002,0.0,0.0,0.0,0.0,3.2459999999999996,0.0,0.0,0.0,5.186285714285715,0.11314285714285714,-4.982857142857143,0.08699999999999998,1.9090000000000003,0.19500000000000003,1.9085714285714288,0.20042857142857143,3.363571428571429,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4949999999999999,0.0,1.022285714285714,0.0012857142857142859,14.998428571428573,9.224428571428573,7.8701428571428576,965.7142857142857,1387.7142857142858,1401.0,1230.142857142857,1281.857142857143,1631.0,1374.857142857143,1377.857142857143,18.0,-17.889142857142858,-16.348571428571425,-17.009999999999998,-15.961714285714283,2498.714285714286,2163.5714285714284,2500.714285714286,680.8571428571429,30.0,0.0,1.0
CPT6,50.755428571428574,49.382999999999996,5.585142857142856,4.017142857142858,1.8715714285714284,3.2448571428571427,2.451,1.1970000000000003,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.157428571428572,0.11885714285714286,-4.99457142857143,0.09399999999999999,1.901,0.19999999999999998,1.9022857142857141,0.197,3.36,0.0,2.548428571428571,0.0,1.8000000000000003,0.0,1.5,0.0,1.0195714285714284,0.0015714285714285713,65.95,58.18714285714287,55.44657142857142,967.7142857142857,1392.0,1418.142857142857,1225.142857142857,1314.2857142857142,1681.2857142857142,1389.2857142857142,1389.857142857143,14.857142857142858,44.056714285714285,44.40328571428571,44.54214285714285,44.33385714285714,2486.0,771.4285714285714,2485.714285714286,588.4285714285714,33.0,0.0,1.0
CPT7,-20.014142857142854,-21.23614285714286,5.508,4.007428571428571,1.9167142857142854,3.2540000000000004,2.458142857142857,1.199,0.0,0.0,0.0,0.0,3.2480000000000007,0.0,0.0,0.0,5.188142857142857,0.11271428571428573,-4.981285714285714,0.08614285714285712,1.9104285714285714,0.1945714285714286,1.9085714285714288,0.2007142857142857,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.494142857142857,0.0,1.022285714285714,0.0012857142857142859,11.644,5.8671428571428565,4.735142857142857,964.8571428571429,1386.857142857143,1398.857142857143,1228.7142857142858,1278.2857142857142,1624.857142857143,1373.142857142857,1375.857142857143,18.0,-21.430142857142858,-17.229999999999997,-19.965571428571426,-17.285,2499.8571428571427,2259.4285714285716,2501.714285714286,697.0,30.857142857142858,0.0,1.0
CPT8,45.853857142857144,44.37,5.577142857142858,4.017142857142857,1.8784285714285713,3.244,2.450142857142857,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.1499999999999995,0.12714285714285714,-4.984428571428571,0.10357142857142856,1.901,0.19999999999999998,1.9090000000000003,0.186,3.36,0.0,2.5509999999999997,0.0,1.8000000000000003,0.0,1.5,0.0,1.0198571428571426,0.0012857142857142859,59.08857142857143,52.55957142857143,50.22899999999999,967.7142857142857,1391.7142857142858,1416.2857142857142,1231.2857142857142,1313.142857142857,1678.4285714285713,1387.5714285714287,1388.5714285714287,15.0,31.72942857142857,29.419857142857136,30.341285714285714,28.501857142857148,2487.285714285714,850.0,2486.714285714286,573.1428571428571,35.142857142857146,0.0,1.0
CPT9,34.12542857142857,32.848,5.564285714285714,4.017142857142857,1.8915714285714285,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.165,0.1177142857142857,-4.993142857142858,0.09199999999999998,1.904,0.19900000000000004,1.9054285714285712,0.19757142857142856,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.5,0.0,1.022,0.0012857142857142859,48.58642857142858,41.951285714285724,39.604285714285716,967.7142857142857,1391.4285714285713,1413.142857142857,1233.142857142857,1306.4285714285713,1672.142857142857,1386.5714285714287,1388.4285714285713,15.0,29.026428571428564,29.946142857142856,29.682999999999996,30.077857142857145,2490.8571428571427,1135.7142857142858,2490.714285714286,611.8571428571429,31.0,0.0,1.0
CPT10,-16.806,-18.004142857142856,5.508285714285714,4.009714285714286,1.9161428571428571,3.253142857142857,2.4570000000000003,1.1988571428571428,0.0,0.0,0.0,0.0,3.2480000000000007,0.0,0.0,0.0,5.19,0.11285714285714286,-4.984428571428571,0.08685714285714284,1.9109999999999998,0.19500000000000003,1.9090000000000003,0.2005714285714286,3.363285714285714,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4949999999999999,0.0,1.026,0.001,12.986285714285712,7.192571428571431,5.983,965.2857142857143,1387.142857142857,1399.0,1244.5714285714287,1280.857142857143,1631.0,1374.857142857143,1377.5714285714287,18.0,-18.382714285714286,-13.182285714285713,-14.964857142857142,-12.117999999999999,2500.0,2223.714285714286,2501.0,663.4285714285714,31.0,0.0,1.0
