CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT1,28.178428571428572,27.052999999999997,5.550142857142858,4.015714285714285,1.8974285714285715,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2322857142857138,0.0,0.0,0.0,5.169,0.12257142857142857,-4.9871428571428575,0.09842857142857142,1.9057142857142857,0.19799999999999998,1.9122857142857141,0.18657142857142858,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4979999999999998,0.0,1.024142857142857,0.001142857142857143,37.18442857142857,33.95314285714286,33.09471428571428,967.2857142857143,1390.857142857143,1409.5714285714287,1244.4285714285713,1301.857142857143,1663.0,1383.4285714285713,1385.4285714285713,15.0,24.92342857142857,25.505857142857142,25.37628571428571,25.830142857142857,2492.1428571428573,1256.5714285714287,2492.8571428571427,612.1428571428571,29.571428571428573,0.0,1.0
CPT2,31.09728571428572,29.945428571428568,5.557000000000001,4.015714285714286,1.8952857142857142,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.167,0.12228571428571429,-4.988714285714287,0.09828571428571428,1.9054285714285712,0.19900000000000004,1.9122857142857141,0.1847142857142857,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4985714285714287,0.0,1.026,0.001,42.36385714285715,37.40028571428571,35.83671428571429,967.8571428571429,1391.0,1411.0,1252.5714285714287,1305.7142857142858,1669.857142857143,1385.5714285714287,1387.142857142857,15.0,27.65171428571428,28.174000000000003,28.174000000000003,28.174000000000003,2492.0,1196.7142857142858,2492.0,609.2857142857143,28.714285714285715,0.0,1.0
CPT3,30.186857142857143,28.813999999999997,5.559285714285714,4.015714285714285,1.8944285714285714,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.165142857142858,0.12185714285714286,-4.985714285714287,0.09785714285714285,1.9054285714285715,0.19900000000000004,1.9125714285714286,0.18442857142857141,3.3625714285714285,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4988571428571429,0.0,1.0204285714285712,0.0014285714285714286,43.575714285714284,37.82414285714286,35.836571428571425,967.4285714285714,1390.5714285714287,1411.5714285714287,1228.142857142857,1304.5714285714287,1664.4285714285713,1384.0,1385.7142857142858,15.0,26.544142857142855,27.06457142857143,27.06457142857143,27.39071428571429,2491.5714285714284,1213.5714285714287,2491.5714285714284,612.0,31.571428571428573,0.0,1.0
CPT4,48.623428571428576,47.13471428571429,5.579999999999999,4.018,1.875,3.2420000000000004,2.4499999999999997,1.1970000000000003,0.0,0.0,0.0,0.0,3.234000000000001,0.0,0.0,0.0,5.155571428571428,0.12385714285714286,-4.988714285714286,0.09999999999999999,1.901,0.19999999999999998,1.909857142857143,0.18357142857142855,3.36,0.0,2.5479999999999996,0.0,1.8000000000000003,0.0,1.5,0.0,1.023,0.001,61.875142857142855,55.20385714285714,52.845857142857135,968.0,1392.0,1417.0,1247.2857142857142,1316.142857142857,1685.2857142857142,1390.142857142857,1390.4285714285713,15.0,44.68099999999999,45.654,45.654,45.654,2487.0,797.0,2486.8571428571427,591.1428571428571,30.857142857142858,0.0,1.0
CPT5,-16.060285714285715,-17.302714285714284,5.511428571428572,4.009428571428571,1.9158571428571427,3.2519999999999993,2.4570000000000003,1.199,0.0,0.0,0.0,0.0,3.2471428571428573,0.0,0.0,0.0,5.184428571428571,0.1177142857142857,-4.975285714285714,0.09271428571428571,1.9104285714285714,0.19500000000000003,1.9145714285714284,0.18728571428571428,3.363,0.0,2.5509999999999997,0.0,1.8024285714285713,0.0,1.4949999999999999,0.0,1.026,0.001,12.851142857142857,7.284714285714285,6.209142857142857,965.7142857142857,1387.7142857142858,1400.0,1245.4285714285713,1282.0,1632.142857142857,1374.857142857143,1377.7142857142858,18.0,-19.857,-18.218285714285717,-18.710999999999995,-17.669714285714285,2499.714285714286,2206.5714285714284,2501.0,685.2857142857143,28.571428571428573,0.0,1.0
CPT6,48.54128571428571,47.098285714285716,5.582,4.017428571428572,1.8754285714285714,3.244,2.451,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.155571428571428,0.12385714285714286,-4.988714285714286,0.09999999999999999,1.901,0.19999999999999998,1.909857142857143,0.1832857142857143,3.36,0.0,2.549285714285714,0.0,1.8000000000000003,0.0,1.5,0.0,1.0195714285714284,0.0012857142857142859,62.840714285714284,55.59928571428572,53.04685714285716,967.8571428571429,1391.857142857143,1417.5714285714287,1237.857142857143,1315.5714285714287,1683.2857142857142,1389.4285714285713,1390.0,15.0,42.193285714285715,42.39971428571429,42.744142857142855,42.193285714285715,2486.714285714286,805.4285714285714,2486.5714285714284,590.0,31.857142857142858,0.0,1.0
CPT7,-25.25742857142857,-26.63928571428571,5.501714285714286,4.007428571428571,1.919142857142857,3.2579999999999996,2.460857142857143,1.2,0.0,0.0,0.0,0.0,3.2519999999999993,0.0,0.0,0.0,5.184428571428571,0.11657142857142856,-4.973714285714285,0.09157142857142855,1.9109999999999998,0.19399999999999998,1.9145714285714284,0.1882857142857143,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.493,0.0,1.024142857142857,0.001142857142857143,9.123714285714286,3.5497142857142863,2.6601428571428576,964.7142857142857,1386.5714285714287,1397.2857142857142,1235.857142857143,1277.5714285714287,1624.4285714285713,1372.7142857142858,1375.4285714285713,19.0,-22.132,-17.175,-20.237,-17.175,2500.5714285714284,2304.8571428571427,2502.0,708.8571428571429,29.0,0.0,1.0
CPT8,44.935,43.47242857142857,5.575428571428572,4.016857142857142,1.8800000000000001,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236857142857143,0.0,0.0,0.0,5.163000000000001,0.11614285714285714,-4.996000000000001,0.09314285714285712,1.9014285714285715,0.19999999999999998,1.9107142857142854,0.18214285714285713,3.36,0.0,2.5509999999999997,0.0,1.8000000000000003,0.0,1.5,0.0,1.022285714285714,0.0012857142857142859,57.09185714285716,51.19414285714286,49.03671428571429,967.8571428571429,1391.857142857143,1415.857142857143,1236.4285714285713,1313.0,1677.857142857143,1388.5714285714287,1389.4285714285713,15.0,30.341285714285714,28.371000000000002,29.026428571428564,27.129714285714282,2487.5714285714284,864.2857142857143,2487.4285714285716,573.4285714285714,34.42857142857143,0.0,1.0
CPT9,31.174428571428574,29.816,5.561142857142857,4.016,1.8947142857142858,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.165142857142858,0.12214285714285714,-4.988714285714286,0.09814285714285713,1.9057142857142857,0.19900000000000004,1.9122857142857141,0.18471428571428575,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4997142857142858,0.0,1.026,0.001,44.800428571428576,38.94514285714286,36.839285714285715,968.0,1391.0,1412.4285714285713,1252.4285714285713,1307.4285714285713,1672.5714285714287,1386.4285714285713,1388.4285714285713,15.0,27.259999999999998,28.10871428571429,28.10871428571429,28.305428571428575,2491.0,1193.2857142857142,2491.8571428571427,617.0,29.857142857142858,0.0,1.0
CPT10,-20.949285714285715,-22.28128571428572,5.503999999999999,4.006857142857142,1.9165714285714286,3.2554285714285713,2.459,1.199,0.0,0.0,0.0,0.0,3.2491428571428576,0.0,0.0,0.0,5.184428571428571,0.11699999999999999,-4.9722857142857135,0.09157142857142855,1.9101428571428571,0.1947142857142857,1.9145714285714284,0.18785714285714286,3.363,0.0,2.5509999999999997,0.0,1.8024285714285713,0.0,1.4932857142857145,0.0,1.0204285714285712,0.0014285714285714286,10.502285714285714,5.052,4.103285714285714,964.8571428571429,1386.5714285714287,1398.0,1222.7142857142858,1277.857142857143,1622.0,1372.142857142857,1374.5714285714287,18.285714285714285,-18.874714285714283,-12.679,-14.631714285714285,-11.556142857142856,2499.5714285714284,2263.0,2501.714285714286,668.1428571428571,34.142857142857146,0.0,1.0
