CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT1,29.621375,28.159,5.55425,4.015750000000001,1.896125,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.115625,-4.9935,0.092375,1.9057499999999998,0.198,1.907875,0.194625,3.363,0.0,2.551,0.0,1.802,0.0,1.49825,0.0,1.024375,0.0011250000000000001,41.239125,36.221125,34.590500000000006,967.0,1390.875,1410.5,1244.125,1304.0,1666.375,1385.25,1386.875,15.0,25.32775,25.7815,25.7815,26.235500000000002,2491.75,1228.25,2491.75,610.875,30.625,0.0,1.0
CPT2,31.62057142857143,30.47585714285714,5.558999999999999,4.015999999999999,1.8941428571428571,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.177,0.11599999999999999,-4.996000000000001,0.09228571428571428,1.9048571428571428,0.19799999999999998,1.9084285714285714,0.19314285714285714,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.499142857142857,0.0,1.026,0.001,43.09771428571429,37.85385714285714,36.237285714285726,967.8571428571429,1391.142857142857,1411.2857142857142,1251.857142857143,1305.2857142857142,1670.4285714285713,1386.0,1387.857142857143,15.0,27.71699999999999,28.174000000000003,28.501857142857144,28.633000000000003,2491.8571428571427,1185.2857142857142,2492.0,608.0,28.857142857142858,0.0,1.0
CPT3,31.97857142857143,30.635428571428566,5.561,4.015428571428571,1.8940000000000001,3.240000000000001,2.4490000000000003,1.196,0.0,0.0,0.0,0.0,3.2319999999999998,0.0,0.0,0.0,5.169,0.11599999999999999,-4.993142857142858,0.09299999999999999,1.904,0.19871428571428576,1.907714285714286,0.1927142857142857,3.3617142857142857,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.4994285714285716,0.0,1.0222857142857142,0.0012857142857142859,46.16128571428572,39.846000000000004,37.66514285714286,967.4285714285714,1390.7142857142858,1412.0,1234.0,1305.5714285714287,1668.142857142857,1385.4285714285713,1387.2857142857142,15.0,27.455857142857138,28.04342857142857,28.04342857142857,28.370714285714286,2491.0,1181.857142857143,2491.4285714285716,609.0,30.857142857142858,0.0,1.0
CPT4,50.29114285714286,48.802857142857135,5.581714285714285,4.016857142857143,1.8728571428571428,3.2420000000000004,2.4499999999999997,1.1970000000000003,0.0,0.0,0.0,0.0,3.234000000000001,0.0,0.0,0.0,5.157428571428572,0.11785714285714285,-4.993142857142858,0.09485714285714285,1.901,0.19999999999999998,1.9048571428571428,0.19199999999999998,3.36,0.0,2.5479999999999996,0.0,1.8000000000000003,0.0,1.5,0.0,1.0212857142857141,0.001142857142857143,64.85757142857143,57.44499999999999,54.781285714285715,967.8571428571429,1391.857142857143,1417.7142857142858,1235.857142857143,1315.4285714285713,1681.4285714285713,1389.2857142857142,1389.5714285714287,14.857142857142858,45.37571428571429,46.002571428571436,46.002571428571436,46.42142857142858,2485.8571428571427,774.0,2485.714285714286,592.0,33.0,0.0,1.0
CPT5,-14.266857142857145,-15.474857142857141,5.513714285714286,4.008857142857142,1.915142857142857,3.2519999999999993,2.456,1.1984285714285716,0.0,0.0,0.0,0.0,3.2459999999999996,0.0,0.0,0.0,5.188142857142858,0.11185714285714286,-4.981285714285713,0.08757142857142855,1.909857142857143,0.19500000000000003,1.9101428571428571,0.19542857142857145,3.3638571428571424,0.0,2.5509999999999997,0.0,1.8028571428571427,0.0,1.4949999999999999,0.0,1.0204285714285712,0.0014285714285714286,13.965142857142853,8.291285714285715,7.001285714285714,965.5714285714286,1387.4285714285713,1400.0,1222.5714285714287,1280.7142857142858,1627.857142857143,1374.0,1377.0,18.0,-19.092999999999996,-17.50485714285714,-18.10857142857143,-17.009999999999998,2498.8571428571427,2186.285714285714,2500.714285714286,682.7142857142857,31.285714285714285,0.0,1.0
CPT6,49.777857142857144,48.37014285714285,5.582857142857143,4.017428571428572,1.8732857142857144,3.244285714285714,2.451,1.1965714285714284,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.159285714285715,0.1177142857142857,-4.994571428571429,0.09471428571428571,1.901,0.19999999999999998,1.9054285714285715,0.19142857142857142,3.36,0.0,2.5488571428571425,0.0,1.8000000000000003,0.0,1.5,0.0,1.0195714285714284,0.0012857142857142859,64.5512857142857,57.062428571428576,54.423,967.7142857142857,1391.857142857143,1417.7142857142858,1226.857142857143,1314.7142857142858,1681.142857142857,1389.2857142857142,1389.7142857142858,14.857142857142858,43.089,43.36542857142857,43.57271428571429,43.15814285714286,2485.714285714286,786.5714285714286,2485.714285714286,590.4285714285714,33.0,0.0,1.0
CPT7,-22.569142857142857,-23.863428571428575,5.505428571428571,4.006857142857142,1.9168571428571428,3.256,2.459142857142857,1.1992857142857143,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,5.19,0.111,-4.978142857142856,0.0867142857142857,1.9104285714285716,0.19399999999999998,1.9107142857142858,0.19542857142857145,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.493,0.0,1.0204285714285712,0.0014285714285714286,10.477142857142857,4.773714285714285,3.743285714285714,964.5714285714286,1386.7142857142858,1398.0,1221.4285714285713,1277.2857142857142,1621.2857142857142,1372.2857142857142,1375.0,18.428571428571427,-21.862714285714283,-17.34,-20.074142857142853,-17.34,2499.714285714286,2281.714285714286,2501.5714285714284,704.2857142857143,31.571428571428573,0.0,1.0
CPT8,45.35742857142858,43.87128571428571,5.575428571428572,4.017428571428572,1.8794285714285712,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.2377142857142855,0.0,0.0,0.0,5.148000000000001,0.13128571428571428,-4.976571428571428,0.10771428571428572,1.9022857142857141,0.19999999999999998,1.9090000000000003,0.18757142857142856,3.36,0.0,2.5509999999999997,0.0,1.8000000000000003,0.0,1.5,0.0,1.0234285714285714,0.001142857142857143,58.08042857142857,51.795142857142864,49.55728571428572,967.7142857142857,1391.7142857142858,1415.7142857142858,1231.857142857143,1312.4285714285713,1677.7142857142858,1387.2857142857142,1387.5714285714287,15.0,30.803,28.895285714285713,29.485714285714284,27.586428571428566,2487.285714285714,858.2857142857143,2486.8571428571427,573.8571428571429,35.0,0.0,1.0
CPT9,32.769999999999996,31.459857142857146,5.562285714285714,4.015999999999999,1.8938571428571431,3.244,2.4499999999999997,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.171,0.11628571428571428,-4.993142857142858,0.09299999999999999,1.9042857142857141,0.19900000000000004,1.907714285714286,0.19300000000000003,3.363,0.0,2.5509999999999997,0.0,1.8019999999999998,0.0,1.5,0.0,1.026,0.001,47.00042857142858,40.60442857142857,38.332142857142856,967.8571428571429,1391.142857142857,1413.0,1251.142857142857,1307.5714285714287,1673.5714285714287,1387.2857142857142,1389.2857142857142,15.0,28.174000000000003,29.026428571428564,28.764142857142854,29.026428571428564,2490.8571428571427,1162.857142857143,2491.0,611.8571428571429,30.0,0.0,1.0
CPT10,-18.78457142857143,-20.05871428571428,5.506285714285714,4.007714285714285,1.9162857142857146,3.2540000000000004,2.4580000000000006,1.199,0.0,0.0,0.0,0.0,3.2480000000000007,0.0,0.0,0.0,5.188142857142857,0.1112857142857143,-4.981285714285714,0.08699999999999998,1.9104285714285714,0.1948571428571429,1.909857142857143,0.19542857142857145,3.363285714285714,0.0,2.5509999999999997,0.0,1.8024285714285713,0.0,1.4949999999999999,0.0,1.0222857142857142,0.0012857142857142859,11.933857142857144,6.247142857142856,5.1207142857142856,964.8571428571429,1386.7142857142858,1398.5714285714287,1229.2857142857142,1279.142857142857,1625.5714285714287,1373.5714285714287,1375.857142857143,18.0,-18.820142857142855,-13.014714285714287,-14.964857142857143,-11.949571428571428,2499.714285714286,2243.0,2501.0,665.8571428571429,33.0,0.0,1.0
