THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
48.333,46.844,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.093,1.901,0.2,1.914,0.179,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,61.278,54.841,52.389,968,1392,1417,1248,1317,1687,1391,1391,15,44.681,45.654,45.654,45.654,2487,801,2487,591,30,0,1
48.385,46.895,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.118,-4.996,0.094,1.901,0.2,1.911,0.181,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,61.278,54.841,52.588,968,1392,1417,1248,1316,1685,1391,1391,15,44.681,45.654,45.654,45.654,2487,800,2487,591,30,0,1
48.489,46.997,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.12,-4.996,0.097,1.901,0.2,1.911,0.183,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,61.522,55.052,52.588,968,1392,1417,1248,1316,1684,1390,1391,15,44.681,45.654,45.654,45.654,2487,799,2487,592,31,0,1
48.541,47.047,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.125,-4.986,0.101,1.901,0.2,1.909,0.185,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,61.768,55.052,52.788,968,1392,1417,1247,1316,1686,1390,1390,15,44.681,45.654,45.654,45.654,2487,798,2487,592,31,0,1
48.646,47.149,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.128,-4.986,0.104,1.901,0.2,1.909,0.186,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.015,55.264,52.788,968,1392,1417,1247,1316,1685,1390,1390,15,44.681,45.654,45.654,45.654,2487,797,2487,588,31,0,1
48.698,47.2,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.132,-4.975,0.108,1.901,0.2,1.909,0.187,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.015,55.264,52.989,968,1392,1417,1247,1316,1685,1389,1390,15,44.681,45.654,45.654,45.654,2487,796,2487,591,31,0,1
48.75,47.302,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.127,-4.986,0.103,1.901,0.2,1.909,0.184,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.264,55.477,52.989,968,1392,1417,1247,1316,1686,1390,1390,15,44.681,45.654,45.654,45.654,2487,795,2487,590,31,0,1
48.855,47.353,5.58,4.018,1.875,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.093,1.901,0.2,1.911,0.179,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.264,55.477,53.191,968,1392,1417,1247,1317,1686,1391,1391,15,44.681,45.654,45.654,45.654,2487,794,2486,594,31,0,1
48.908,47.404,5.58,4.018,1.876,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.118,-4.996,0.095,1.901,0.2,1.911,0.182,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.515,55.691,53.191,968,1392,1417,1247,1317,1686,1391,1391,15,45.167,45.654,45.654,45.654,2487,793,2486,593,31,0,1
48.96,47.507,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.122,-4.986,0.099,1.901,0.2,1.909,0.184,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.515,55.691,53.191,968,1392,1417,1247,1316,1685,1390,1391,15,45.167,45.654,45.654,45.654,2487,793,2487,591,31,0,1
49.066,47.558,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.125,-4.986,0.102,1.901,0.2,1.909,0.185,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,62.768,55.691,53.394,968,1392,1417,1247,1317,1687,1390,1391,15,45.167,45.654,45.654,46.142,2487,792,2486,593,31,0,1
49.118,47.609,5.578,4.016,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.129,-4.975,0.105,1.901,0.2,1.909,0.185,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,62.768,55.906,53.598,967,1391,1416,1186,1311,1670,1384,1385,15,44.681,45.167,45.167,45.654,2486,790,2485,592,37,0,1
49.171,47.712,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.131,-4.975,0.108,1.901,0.2,1.909,0.187,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.022,56.123,53.598,968,1392,1417,1246,1316,1685,1389,1390,15,45.167,45.654,45.654,46.142,2487,790,2486,593,31,0,1
